Problem,choose,turn_limit
MIS_easy,0.5,50
MIS_medium,0.5,50
MIS_hard,0.5,50
MCV_easy,0.5,50
MVC_medium,0.5,50
MVC_hard,0.5,50
SC_easy,0.5,50
SC_medium,0.5,50
SC_hard,0.5,50
MIPlib,0.5,50
Coral,0.5,50
Cut,0.5,50
ECOGCNN,0.5,50
HEM_knapsack,0.5,50
HEM_mis,0.5,50
HEM_setcover,0.5,50
HEM_corlat,0.5,50
HEM_mik,0.5,50
item_placement,0.5,50
load_balancing,0.5,50
anonymous,0.5,50
Nexp,0.5,50
Transportation,0.5,50
vary_bounds_s1,0.5,50
vary_bounds_s2,0.5,50
vary_bounds_s3,0.5,50
vary_matrix_s1,0.5,50
vary_matrix_rhs_bounds_s1,0.5,50
vary_matrix_rhs_bounds_obj_s1,0.5,50
vary_obj_s1,0.5,50
vary_obj_s2,0.5,50
vary_obj_s3,0.5,50
vary_rhs_s1,0.5,50
vary_rhs_s2,0.5,50
vary_rhs_s3,0.5,50
vary_rhs_s4,0.5,50
vary_rhs_obj_s1,0.5,50
vary_rhs_obj_s2,0.5,50
Aclib,0.5,50
fc.data,0.5,50
nn_verification,0.5,50
