Problem,batch-size,learning-rate,num-epochs
MIS_easy,1,0.0001,30
MIS_medium,1,0.0001,30
MIS_hard,1,0.0001,30
MCV_easy,1,0.0001,30
MVC_medium,1,0.0001,30
MVC_hard,1,0.0001,30
SC_easy,1,0.0001,30
SC_medium,1,0.0001,30
SC_hard,1,0.0001,30
MIPlib,1,0.0001,30
Coral,1,0.0001,30
Cut,1,0.0001,30
ECOGCNN,1,0.0001,30
HEM_knapsack,1,0.0001,30
HEM_mis,1,0.0001,30
HEM_setcover,1,0.0001,30
HEM_corlat,1,0.0001,30
HEM_mik,1,0.0001,30
item_placement,1,0.0001,30
load_balancing,1,0.0001,30
anonymous,1,0.0001,30
Nexp,1,0.0001,30
Transportation,1,0.0001,30
vary_bounds_s1,1,0.0001,30
vary_bounds_s2,1,0.0001,30
vary_bounds_s3,1,0.0001,30
vary_matrix_s1,1,0.0001,30
vary_matrix_rhs_bounds_s1,1,0.0001,30
vary_matrix_rhs_bounds_obj_s1,1,0.0001,30
vary_obj_s1,1,0.0001,30
vary_obj_s2,1,0.0001,30
vary_obj_s3,1,0.0001,30
vary_rhs_s1,1,0.0001,30
vary_rhs_s2,1,0.0001,30
vary_rhs_s3,1,0.0001,30
vary_rhs_s4,1,0.0001,30
vary_rhs_obj_s1,1,0.0001,30
vary_rhs_obj_s2,1,0.0001,30
Aclib,1,0.0001,30
fc.data,1,0.0001,30
nn_verification,1,0.0001,30
