Problem,learning-rate,max-epoch
MIS_easy,0.003,200
MIS_medium,0.003,200
MIS_hard,0.003,200
MVC_easy,0.003,200
MVC_medium,0.003,200
MVC_hard,0.003,200
SC_easy,0.003,200
SC_medium,0.003,200
SC_hard,0.003,200
MIPlib,0.003,200
Coral,0.003,200
Cut,0.003,200
ECOGCNN,0.003,200
HEM_knapsack,0.003,200
HEM_mis,0.003,200
HEM_setcover,0.003,200
HEM_corlat,0.003,200
HEM_mik,0.003,200
item_placement,0.003,200
load_balancing,0.003,200
anonymous,0.003,200
Nexp,0.003,200
Transportation,0.003,200
vary_bounds_s1,0.003,200
vary_bounds_s2,0.003,200
vary_bounds_s3,0.003,200
vary_matrix_s1,0.003,200
vary_matrix_rhs_bounds_s1,0.003,200
vary_matrix_rhs_bounds_obj_s1,0.003,200
vary_obj_s1,0.003,200
vary_obj_s2,0.003,200
vary_obj_s3,0.003,200
vary_rhs_s1,0.003,200
vary_rhs_s2,0.003,200
vary_rhs_s3,0.003,200
vary_rhs_s4,0.003,200
vary_rhs_obj_s1,0.003,200
vary_rhs_obj_s2,0.003,200
Aclib,0.003,200
fc.data,0.003,200
nn_verification,0.003,200
